,overpoints,to_end_seconds,interactions
466,3718,30571,2
467,3855,30570,2
468,3863,30570,2
469,5093,30569,2
470,7738,30569,2
471,8894,30569,2
472,9788,30568,2
473,7892,30568,2
474,7710,30568,2
475,7482,30567,2
476,6323,30567,2
477,4412,30566,2
478,4507,30566,2
479,3090,30566,2
480,3995,30565,2
481,6496,30565,2
482,9094,30565,2
483,8443,30564,2
484,8323,30564,2
485,8753,30563,4
486,9946,30563,4
487,12745,30563,4
488,14700,30562,4
489,15258,30562,4
490,14076,30562,4
491,13629,30561,4
492,13414,30561,4
493,11084,30561,4
494,9177,30560,4
495,9566,30560,4
496,12619,30560,4
497,11111,30559,4
498,14016,30559,4
500,9158,30558,2
501,6478,30558,2
503,1053,30556,1
504,1116,30556,1
505,1289,30555,1
506,1093,30555,1
507,1159,29789,1
508,1169,29789,1
509,1275,29789,1
510,1444,29789,1
511,1642,29789,1
512,1724,29789,1
513,1609,29788,1
514,1576,29788,1
515,1602,29788,1
516,1676,29788,1
517,1879,29788,1
518,1848,29788,1
519,1890,29788,1
520,1617,29788,1
521,1382,29788,1
522,1290,29787,1
523,1242,29787,1
531,1343,29786,2
532,1234,29786,2
533,1231,29786,2
534,1305,29786,2
535,1519,29786,2
536,1826,29786,2
537,2069,29786,2
538,2349,29786,2
539,2591,29786,2
540,2829,29786,2
541,2863,29785,2
542,2791,29785,2
543,2716,29785,2
544,2665,29785,2
545,2565,29785,2
546,2601,29785,2
547,2558,29785,2
548,2470,29785,2
549,2554,29785,2
550,2524,29784,2
551,2483,29784,2
552,2476,29784,2
553,2573,29784,2
554,2588,29784,2
555,2488,29784,2
556,2454,29784,2
557,3139,29784,2
558,3882,29784,2
559,3217,29783,2
560,2479,29783,2
561,1635,29783,2
562,1428,29783,2
563,1280,29783,2
564,1376,29783,2
565,1738,29783,2
566,1540,29783,2
567,1611,29782,2
568,1573,29782,2
569,1332,29782,2
570,1080,29782,2
571,1215,29781,2
572,1655,29781,2
573,1812,29781,2
574,1900,29781,2
575,1589,29781,2
576,1251,29781,2
577,1085,29781,2
578,1130,29781,2
579,1216,29780,2
580,1210,29780,2
581,1274,29780,2
582,1265,29780,2
583,1468,29780,2
584,1823,29780,2
585,1683,29780,2
586,1523,29780,2
587,1667,29780,2
588,1760,29779,2
589,1861,29779,2
590,1885,29779,2
591,1726,29779,2
592,1585,29779,2
593,1797,29779,2
594,2210,29779,2
595,2258,29779,2
596,2143,29779,2
597,2114,29778,2
598,2801,29778,2
599,3036,29778,2
600,3223,29778,2
601,3426,29778,2
602,3186,29778,2
603,2939,29778,2
604,2802,29778,2
605,2751,29777,2
606,2697,29777,2
607,2552,29777,2
608,2468,29777,2
609,2202,29777,2
610,2004,29777,2
611,1946,29777,2
612,1965,29777,2
613,1938,29777,2
614,2109,29776,2
615,2073,29776,2
624,2076,29775,1
625,1873,29775,1
626,2088,29775,1
627,2056,29775,1
628,1941,29775,1
629,1673,29775,1
630,1561,29775,1
631,1481,29775,1
632,1613,29775,1
633,1989,29774,1
634,2131,29774,1
635,1451,29774,1
636,1053,29773,1
637,1634,29773,1
638,1942,29773,1
639,2160,29773,1
640,2185,29773,1
641,1968,29773,1
642,1480,29773,1
643,1200,29769,1
644,1360,29769,1
646,1257,29768,2
647,1467,29768,2
648,1441,29768,2
649,1950,29768,2
650,1743,29768,2
651,1669,29768,2
652,1941,29768,2
653,2191,29768,2
654,2265,29767,2
655,2277,29767,2
656,2321,29767,2
657,2573,29767,2
658,3060,29767,2
659,3355,29767,2
660,3678,29767,2
661,4011,29767,2
662,4301,29767,2
663,4240,29767,2
664,4080,29766,2
665,3971,29766,2
666,3929,29766,2
667,4022,29766,2
668,4090,29766,2
669,4225,29766,2
670,4146,29766,2
671,3833,29766,2
672,3848,29765,2
673,3938,29765,2
674,3591,29765,2
675,3528,29765,2
676,3507,29765,2
677,3484,29765,2
678,4234,29765,2
679,4899,29765,2
680,5100,29765,2
681,5075,29764,2
682,5064,29764,2
689,1595,29762,1
690,2251,29762,1
691,2616,29762,1
692,2971,29762,1
693,3088,29762,1
694,2996,29762,1
695,2649,29762,1
696,2102,29762,1
697,1642,29762,1
698,1475,29762,1
699,1426,29762,1
700,1405,29761,1
701,1459,29761,1
747,1046,29488,1
748,1153,29488,1
749,1197,29488,1
750,1218,29487,1
751,1212,29487,1
752,1193,29487,1
753,1156,29487,1
754,1136,29487,1
755,1147,29487,1
756,1113,29487,1
757,1151,29487,1
758,1102,29485,1
759,1270,29485,1
760,1376,29485,1
761,1455,29485,1
762,1538,29485,1
763,1565,29485,1
764,1581,29485,1
765,1627,29485,1
766,1566,29484,1
767,1530,29484,1
768,1411,29484,1
769,1209,29484,1
770,1219,29481,1
771,1720,29481,1
772,1916,29481,1
773,2075,29481,1
774,2058,29480,1
775,1900,29480,1
776,1749,29480,1
777,1443,29480,1
778,1050,29480,1
779,1389,29479,1
780,2033,29479,1
781,2280,29479,1
782,2478,29479,1
783,2434,29479,1
784,2023,29478,1
785,1689,29478,1
786,1139,29478,1
787,1090,29476,1
788,1300,29476,1
845,1149,29443,1
846,1429,29443,1
847,1396,29443,1
848,1334,29442,1
849,1280,29442,1
850,1349,29442,1
851,1401,29442,1
852,1492,29442,1
853,1634,29442,1
854,1705,29442,1
855,1739,29442,1
856,1760,29442,1
857,1782,29442,1
858,1751,29442,1
859,1729,29441,1
860,1756,29441,1
861,1732,29441,1
862,1690,29441,1
863,1684,29441,1
864,1665,29441,1
865,1670,29441,1
866,1670,29441,1
867,1636,29441,1
868,1590,29441,1
869,1509,29440,1
870,1416,29440,1
878,1179,29438,2
879,1461,29438,2
880,1617,29438,2
881,1646,29438,2
882,1750,29437,2
883,1951,29437,2
884,2354,29437,2
885,2841,29437,2
886,3347,29437,2
887,3725,29437,2
888,4098,29437,2
889,4192,29437,2
890,4362,29437,2
891,4360,29437,2
892,4340,29437,2
893,4307,29436,2
894,4308,29436,2
895,4276,29436,2
896,4293,29436,2
897,4338,29436,2
898,4319,29436,2
899,4314,29436,2
900,4315,29436,2
901,4247,29436,2
902,4102,29436,2
903,3698,29435,2
904,2542,29435,2
906,1214,29433,1
907,1248,29433,1
