date,start_time,points_mean,mode,saturation
2017-04-26,10:28:00,44,2,0.002266172229089411
2017-04-26,10:28:30,2061,1,0.1061495673671199
2017-04-26,10:29:00,2067,1,0.10645859085290482
2017-04-26,10:29:30,1855,1,0.09553976102183766
2017-04-26,10:30:00,297,5,0.015296662546353522
2017-04-26,10:30:30,3373,5,0.17372270292542233
2017-04-26,10:31:00,4803,5,0.2473733003708282
2017-04-26,10:31:30,4009,5,0.2064791924186238
2017-04-26,10:32:00,1452,1,0.07478368355995056
2017-04-26,10:32:30,0,1,0.0
2017-04-26,10:33:00,769,1,0.039606510094767206
2017-04-26,10:33:30,1905,1,0.09811495673671199
2017-04-26,10:34:00,2779,1,0.1431293778327153
2017-04-26,10:34:30,106,1,0.0054594149155335805
2017-04-26,10:35:00,0,1,0.0
2017-04-26,10:35:30,0,1,0.0
2017-04-26,10:36:00,0,1,0.0
2017-04-26,10:36:30,0,1,0.0
2017-04-26,10:37:00,896,1,0.046147507210548
2017-04-26,10:37:30,1776,1,0.09147095179233622
2017-04-26,10:38:00,553,1,0.028481664606510096
2017-04-26,10:38:30,0,1,0.0
2017-04-26,10:39:00,0,1,0.0
2017-04-26,10:39:30,0,1,0.0
2017-04-26,10:40:00,0,2,0.0
2017-04-26,10:40:30,0,2,0.0
2017-04-26,10:41:00,2280,3,0.11742892459826947
2017-04-26,10:41:30,8218,3,0.42325916769674493
2017-04-26,10:42:00,2867,4,0.1476617222908941
2017-04-26,10:42:30,1733,4,0.08925628347754429
2017-04-26,10:43:00,1488,5,0.07663782447466007
2017-04-26,10:43:30,0,5,0.0
2017-04-26,10:44:00,0,6,0.0
2017-04-26,10:44:30,0,6,0.0
2017-04-26,10:45:00,0,7,0.0
2017-04-26,10:45:30,0,7,0.0
2017-04-26,10:46:00,0,1,0.0
2017-04-26,10:46:30,0,1,0.0
2017-04-26,10:47:00,0,2,0.0
2017-04-26,10:47:30,0,2,0.0
2017-04-26,10:48:00,0,3,0.0
2017-04-26,10:48:30,0,3,0.0
2017-04-26,10:49:00,0,4,0.0
2017-04-26,10:49:30,0,4,0.0
2017-04-26,10:50:00,0,5,0.0
2017-04-26,10:50:30,0,5,0.0
2017-04-26,10:51:00,0,6,0.0
2017-04-26,10:51:30,0,6,0.0
2017-04-26,10:52:00,0,7,0.0
2017-04-26,10:52:30,0,7,0.0
2017-04-26,10:53:00,0,1,0.0
2017-04-26,10:53:30,338,5,0.017408323032550473
2017-04-26,10:54:00,0,5,0.0
2017-04-26,10:54:30,1352,5,0.06963329213020189
2017-04-26,10:55:00,0,5,0.0
2017-04-26,10:55:30,0,5,0.0
2017-04-26,10:56:00,0,5,0.0
2017-04-26,10:56:30,44,5,0.002266172229089411
2017-04-26,10:57:00,1803,6,0.09286155747836836
2017-04-26,10:57:30,0,6,0.0
2017-04-26,10:58:00,0,6,0.0
2017-04-26,10:58:30,0,6,0.0
2017-04-26,10:59:00,0,6,0.0
2017-04-26,10:59:30,0,6,0.0
2017-04-26,11:00:00,0,6,0.0
2017-04-26,11:00:30,3464,6,0.17840955912649362
2017-04-26,11:01:00,1620,6,0.0834363411619283
2017-04-26,11:01:30,0,6,0.0
2017-04-26,11:02:00,409,1,0.021065100947672024
2017-04-26,11:02:30,0,1,0.0
2017-04-26,11:03:00,0,1,0.0
2017-04-26,11:03:30,0,1,0.0
2017-04-26,11:04:00,0,1,0.0
2017-04-26,11:04:30,0,1,0.0
2017-04-26,11:05:00,0,1,0.0
2017-04-26,11:05:30,0,1,0.0
2017-04-26,11:06:00,0,1,0.0
2017-04-26,11:06:30,0,1,0.0
2017-04-26,11:07:00,0,1,0.0
2017-04-26,11:07:30,0,1,0.0
2017-04-26,11:08:00,691,2,0.03558920477956325
2017-04-26,11:08:30,0,2,0.0
2017-04-26,11:09:00,0,3,0.0
2017-04-26,11:09:30,0,3,0.0
2017-04-26,11:10:00,0,4,0.0
2017-04-26,11:10:30,0,4,0.0
2017-04-26,11:11:00,0,5,0.0
2017-04-26,11:11:30,0,5,0.0
2017-04-26,11:12:00,0,6,0.0
2017-04-26,11:12:30,0,6,0.0
2017-04-26,11:13:00,0,7,0.0
2017-04-26,11:13:30,0,7,0.0
2017-04-26,11:14:00,120,1,0.006180469715698393
2017-04-26,11:14:30,263,1,0.013545529460238978
2017-04-26,11:15:00,3505,1,0.18052121961269058
2017-04-26,11:15:30,3837,8,0.1976205191594561
2017-04-26,11:16:00,0,8,0.0
2017-04-26,11:16:30,0,8,0.0
2017-04-26,11:17:00,444,8,0.022867737948084055
2017-04-26,11:17:30,1145,8,0.058971981870622164
2017-04-26,11:18:00,1813,7,0.09337659662134322
2017-04-26,11:18:30,467,7,0.024052327976926247
2017-04-26,11:19:00,728,7,0.03749484960857025
2017-04-26,11:19:30,0,7,0.0
2017-04-26,11:20:00,0,7,0.0
2017-04-26,11:20:30,0,7,0.0
2017-04-26,11:21:00,0,7,0.0
2017-04-26,11:21:30,0,7,0.0
2017-04-26,11:22:00,0,7,0.0
2017-04-26,11:22:30,0,7,0.0
2017-04-26,11:23:00,107,7,0.005510918829831067
2017-04-26,11:23:30,0,7,0.0
2017-04-26,11:24:00,0,1,0.0
2017-04-26,11:24:30,0,1,0.0
2017-04-26,11:25:00,0,2,0.0
2017-04-26,11:25:30,0,2,0.0
2017-04-26,11:26:00,0,3,0.0
2017-04-26,11:26:30,0,3,0.0
2017-04-26,11:27:00,0,4,0.0
2017-04-26,11:27:30,0,4,0.0
2017-04-26,11:28:00,0,5,0.0
2017-04-26,11:28:30,0,5,0.0
2017-04-26,11:29:00,0,6,0.0
2017-04-26,11:29:30,0,6,0.0
2017-04-26,11:30:00,397,7,0.020447053976102185
2017-04-26,11:30:30,1559,6,0.08029460238978163
2017-04-26,11:31:00,191,6,0.009837247630819942
2017-04-26,11:31:30,0,6,0.0
2017-04-26,11:32:00,0,6,0.0
2017-04-26,11:32:30,0,6,0.0
2017-04-26,11:33:00,0,6,0.0
2017-04-26,11:33:30,0,6,0.0
2017-04-26,11:34:00,0,6,0.0
2017-04-26,11:34:30,0,6,0.0
2017-04-26,11:35:00,0,6,0.0
2017-04-26,11:35:30,454,6,0.02338277709105892
2017-04-26,11:36:00,0,6,0.0
2017-04-26,11:36:30,0,6,0.0
2017-04-26,11:37:00,381,7,0.019622991347342397
2017-04-26,11:37:30,149,1,0.007674083230325505
2017-04-26,11:38:00,1567,1,0.08070663370416152
2017-04-26,11:38:30,1950,2,0.10043263288009889
2017-04-26,11:39:00,2836,2,0.14606510094767203
2017-04-26,11:39:30,1266,3,0.06520395550061804
2017-04-26,11:40:00,1268,5,0.06530696332921301
2017-04-26,11:40:30,3242,5,0.1669756901524516
2017-04-26,11:41:00,4329,5,0.22296044499381953
2017-04-26,11:41:30,2077,5,0.10697362999587968
2017-04-26,11:42:00,2001,8,0.1030593325092707
2017-04-26,11:42:30,2038,2,0.10496497733827771
2017-04-26,11:43:00,3149,1,0.16218582612278534
2017-04-26,11:43:30,4883,1,0.2514936135146271
2017-04-26,11:44:00,4262,1,0.21950968273588792
2017-04-26,11:44:30,2355,1,0.12129171817058096
2017-04-26,11:45:00,1926,5,0.0991965389369592
2017-04-26,11:45:30,1601,5,0.08245776679027605
2017-04-26,11:46:00,1763,5,0.09080140090646889
2017-04-26,11:46:30,0,5,0.0
2017-04-26,11:47:00,0,5,0.0
2017-04-26,11:47:30,0,5,0.0
2017-04-26,11:48:00,0,5,0.0
2017-04-26,11:48:30,0,5,0.0
2017-04-26,11:49:00,0,5,0.0
2017-04-26,11:49:30,0,5,0.0
2017-04-26,11:50:00,0,5,0.0
2017-04-26,11:50:30,0,5,0.0
2017-04-26,11:51:00,0,6,0.0
2017-04-26,11:51:30,40,6,0.0020601565718994645
2017-04-26,11:52:00,1707,7,0.08791718170580964
2017-04-26,11:52:30,2263,6,0.11655335805521219
2017-04-26,11:53:00,622,2,0.03203543469303667
2017-04-26,11:53:30,0,2,0.0
2017-04-26,11:54:00,0,2,0.0
2017-04-26,11:54:30,0,2,0.0
2017-04-26,11:55:00,0,2,0.0
2017-04-26,11:55:30,0,2,0.0
2017-04-26,11:56:00,0,2,0.0
2017-04-26,11:56:30,0,2,0.0
2017-04-26,11:57:00,0,2,0.0
2017-04-26,11:57:30,3271,6,0.16846930366707868
2017-04-26,11:58:00,4385,3,0.22584466419447877
2017-04-26,11:58:30,3440,1,0.17717346518335395
2017-04-26,11:59:00,6658,6,0.34291306139266586
2017-04-26,11:59:30,5153,6,0.2653996703749485
2017-04-26,12:00:00,2962,6,0.15255459414915534
2017-04-26,12:00:30,2307,6,0.1188195302843016
2017-04-26,12:01:00,920,5,0.04738360115368768
2017-04-26,12:01:30,1690,5,0.08704161516275237
2017-04-26,12:02:00,2651,5,0.136536876802637
2017-04-26,12:02:30,3621,1,0.186495673671199
2017-04-26,12:03:00,4020,1,0.20704573547589616
2017-04-26,12:03:30,2835,1,0.14601359703337455
2017-04-26,12:04:00,3476,8,0.17902760609806345
2017-04-26,12:04:30,3777,5,0.19453028430160693
2017-04-26,12:05:00,4133,3,0.21286567779151216
2017-04-26,12:05:30,4554,3,0.23454882571075403
2017-04-26,12:06:00,2156,1,0.11104243922538112
2017-04-26,12:06:30,5249,1,0.27034404614750723
2017-04-26,12:07:00,3690,1,0.1900494437577256
2017-04-26,12:07:30,2606,1,0.1342192006592501
2017-04-26,12:08:00,3270,1,0.1684177997527812
2017-04-26,12:08:30,4508,1,0.23217964565306964
2017-04-26,12:09:00,4613,1,0.23758755665430573
