date,start_time,points_mean,mode,saturation
2017-05-24,17:45:00,0,2,0.0
2017-05-24,17:45:30,0,3,0.0
2017-05-24,17:46:00,0,3,0.0
2017-05-24,17:46:30,0,4,0.0
2017-05-24,17:47:00,0,4,0.0
2017-05-24,17:47:30,0,5,0.0
2017-05-24,17:48:00,0,5,0.0
2017-05-24,17:48:30,0,6,0.0
2017-05-24,17:49:00,0,6,0.0
2017-05-24,17:49:30,0,7,0.0
2017-05-24,17:50:00,0,7,0.0
2017-05-24,17:50:30,0,1,0.0
2017-05-24,17:51:00,0,1,0.0
2017-05-24,17:51:30,0,2,0.0
2017-05-24,17:52:00,0,2,0.0
2017-05-24,17:52:30,0,3,0.0
2017-05-24,17:53:00,0,3,0.0
2017-05-24,17:53:30,0,4,0.0
2017-05-24,17:54:00,0,4,0.0
2017-05-24,17:54:30,0,5,0.0
2017-05-24,17:55:00,0,5,0.0
2017-05-24,17:55:30,0,6,0.0
2017-05-24,17:56:00,0,6,0.0
2017-05-24,17:56:30,0,7,0.0
2017-05-24,17:57:00,0,7,0.0
2017-05-24,17:57:30,0,1,0.0
2017-05-24,17:58:00,0,1,0.0
2017-05-24,17:58:30,0,2,0.0
2017-05-24,17:59:00,0,2,0.0
2017-05-24,17:59:30,0,3,0.0
2017-05-24,18:00:00,0,3,0.0
2017-05-25,09:00:00,0,3,0.0
2017-05-25,09:00:30,0,3,0.0
2017-05-25,09:01:00,0,4,0.0
2017-05-25,09:01:30,0,4,0.0
2017-05-25,09:02:00,0,5,0.0
2017-05-25,09:02:30,0,5,0.0
2017-05-25,09:03:00,0,6,0.0
2017-05-25,09:03:30,0,6,0.0
2017-05-25,09:04:00,40542,7,0.06960095589295646
2017-05-25,09:04:30,0,7,0.0
2017-05-25,09:05:00,0,1,0.0
2017-05-25,09:05:30,0,1,0.0
2017-05-25,09:06:00,40544,2,0.06960438941650701
2017-05-25,09:06:30,0,2,0.0
2017-05-25,09:07:00,0,3,0.0
2017-05-25,09:07:30,0,3,0.0
2017-05-25,09:08:00,0,4,0.0
2017-05-25,09:08:30,0,4,0.0
2017-05-25,09:09:00,0,5,0.0
2017-05-25,09:09:30,0,5,0.0
2017-05-25,09:10:00,0,6,0.0
2017-05-25,09:10:30,0,6,0.0
2017-05-25,09:11:00,0,7,0.0
2017-05-25,09:11:30,40543,7,0.06960267265473175
2017-05-25,09:12:00,0,1,0.0
2017-05-25,09:12:30,0,1,0.0
2017-05-25,09:13:00,0,2,0.0
2017-05-25,09:13:30,0,2,0.0
2017-05-25,09:14:00,0,3,0.0
2017-05-25,09:14:30,0,3,0.0
2017-05-25,09:15:00,0,4,0.0
2017-05-25,09:15:30,0,4,0.0
2017-05-25,09:16:00,0,5,0.0
2017-05-25,09:16:30,0,5,0.0
2017-05-25,09:17:00,0,6,0.0
